Domain,Key,Type,Description
Complexity,complexity,INT,Cyclomatic complexity
Complexity,file_complexity,FLOAT,Complexity average by file
Complexity,complexity_in_classes,INT,Cyclomatic complexity in classes
Complexity,class_complexity,FLOAT,Complexity average by class
Complexity,complexity_in_functions,INT,Cyclomatic complexity in functions
Complexity,function_complexity,FLOAT,Complexity average by function
Complexity,class_complexity_distribution,DISTRIB,Classes distribution /complexity
Complexity,function_complexity_distribution,DISTRIB,Functions distribution /complexity
Complexity,file_complexity_distribution,DISTRIB,Files distribution /complexity
Complexity,xs,INT,Total XS
Complexity,xs_percent,PERCENT,Total XS in percent
Complexity,tangle_design,PERCENT,Tangle Design Description
Complexity,fat_class,INT,Fat Class Description
Complexity,fat_design,INT,Fat Design Description
Complexity,fat_leaf_package,INT,Fat Leaf Package Description
Complexity,fat_method,INT,Fat Method Description
Complexity,cognitive_complexity,INT,Cognitive complexity
Coverage,tests,INT,Number of unit tests
Coverage,test_execution_time,MILLISEC,Execution duration of unit tests
Coverage,test_errors,INT,Number of unit test errors
Coverage,skipped_tests,INT,Number of skipped unit tests
Coverage,test_failures,INT,Number of unit test failures
Coverage,test_success_density,PERCENT,Density of successful unit tests
Coverage,test_data,DATA,Unit tests details
Coverage,coverage,PERCENT,Coverage by tests
Coverage,new_coverage,PERCENT,Coverage of new/changed code
Coverage,lines_to_cover,INT,Lines to cover
Coverage,new_lines_to_cover,INT,Lines to cover on new code
Coverage,uncovered_lines,INT,Uncovered lines
Coverage,new_uncovered_lines,INT,Uncovered lines on new code
Coverage,line_coverage,PERCENT,Line coverage
Coverage,new_line_coverage,PERCENT,Line coverage of added/changed code
Coverage,coverage_line_hits_data,DATA,Coverage hits by line
Coverage,conditions_to_cover,INT,Branches to cover
Coverage,new_conditions_to_cover,INT,Branches to cover on New Code
Coverage,uncovered_conditions,INT,Uncovered conditions
Coverage,new_uncovered_conditions,INT,Uncovered conditions on new code
Coverage,branch_coverage,PERCENT,Condition coverage
Coverage,new_branch_coverage,PERCENT,Condition coverage of new/changed code
Coverage,conditions_by_line,DATA,Conditions by line
Coverage,covered_conditions_by_line,DATA,Covered conditions by line
Coverage,it_coverage,PERCENT,Integration tests coverage
Coverage,new_it_coverage,PERCENT,Integration tests coverage of new/changed code
Coverage,it_lines_to_cover,INT,Lines to cover by Integration Tests
Coverage,new_it_lines_to_cover,INT,Lines to cover on new code by integration tests
Coverage,it_uncovered_lines,INT,Uncovered lines by integration tests
Coverage,new_it_uncovered_lines,INT,New lines that are not covered by integration tests
Coverage,it_line_coverage,PERCENT,Line coverage by integration tests
Coverage,new_it_line_coverage,PERCENT,Integration tests line coverage of added/changed code
Coverage,it_coverage_line_hits_data,DATA,Coverage hits by line by integration tests
Coverage,it_conditions_to_cover,INT,Integration Tests conditions to cover
Coverage,new_it_conditions_to_cover,INT,Branches to cover by Integration Tests on New Code
Coverage,it_uncovered_conditions,INT,Uncovered conditions by integration tests
Coverage,new_it_uncovered_conditions,INT,New conditions that are not covered by integration tests
Coverage,it_branch_coverage,PERCENT,Condition coverage by integration tests
Coverage,new_it_branch_coverage,PERCENT,Integration tests condition coverage of new/changed code
Coverage,it_conditions_by_line,DATA,IT conditions by line
Coverage,it_covered_conditions_by_line,DATA,IT covered conditions by line
Coverage,overall_coverage,PERCENT,Overall test coverage
Coverage,new_overall_coverage,PERCENT,Overall coverage of new/changed code
Coverage,overall_lines_to_cover,INT,Overall lines to cover by all tests
Coverage,new_overall_lines_to_cover,INT,New lines to cover by all tests
Coverage,overall_uncovered_lines,INT,Uncovered lines by all tests
Coverage,new_overall_uncovered_lines,INT,New lines that are not covered by any tests
Coverage,overall_line_coverage,PERCENT,Line coverage by all tests
Coverage,new_overall_line_coverage,PERCENT,Line coverage of added/changed code by all tests
Coverage,overall_coverage_line_hits_data,DATA,Coverage hits by all tests and by line
Coverage,overall_conditions_to_cover,INT,Branches to cover by all tests
Coverage,new_overall_conditions_to_cover,INT,New branches to cover by all tests
Coverage,overall_uncovered_conditions,INT,Uncovered conditions by all tests
Coverage,new_overall_uncovered_conditions,INT,New conditions that are not covered by any test
Coverage,overall_branch_coverage,PERCENT,Condition coverage by all tests
Coverage,new_overall_branch_coverage,PERCENT,Condition coverage of new/changed code by all tests
Coverage,overall_conditions_by_line,DATA,Overall conditions by all tests and by line
Coverage,overall_covered_conditions_by_line,DATA,Overall covered conditions by all tests and by line
Coverage,executable_lines_data,DATA,No Description
Design,arch_violations,INT,Number of Architecture Violations
Design,arch_violations_weighted,INT,Total number of Architecture Violations
Documentation,public_api,INT,Public API
Documentation,public_documented_api_density,PERCENT,Public documented classes and functions balanced by ncloc
Documentation,public_undocumented_api,INT,Public undocumented classes, functions and variables
Documentation,commented_out_code_lines,INT,Commented lines of code
Duplications,duplicated_lines,INT,Duplicated lines
Duplications,duplicated_blocks,INT,Duplicated blocks
Duplications,duplicated_files,INT,Duplicated files
Duplications,duplicated_lines_density,PERCENT,Duplicated lines balanced by statements
Duplications,duplications_data,DATA,Duplications details
Duplications,new_duplicated_lines,INT,Duplicated Lines on New Code
Duplications,new_duplicated_blocks,INT,Duplicated blocks on new code
Duplications,new_duplicated_lines_density,PERCENT,Duplicated lines on new code balanced by statements
General,quality_gate_details,DATA,The project detailed status with regard to its quality gate
General,quality_profiles,DATA,Details of quality profiles used during analysis
General,arch-diagrams,DATA,Image binary data
General,s101.buildbreaker,BOOL,breaks build
General,Structure101_Web_Application_URL,STRING,Structure101_Web_Application_URL
General,project,DATA,project
Issues,violations,INT,Issues
Issues,blocker_violations,INT,Blocker issues
Issues,critical_violations,INT,Critical issues
Issues,major_violations,INT,Major issues
Issues,minor_violations,INT,Minor issues
Issues,info_violations,INT,Info issues
Issues,new_violations,INT,New issues
Issues,new_blocker_violations,INT,New Blocker issues
Issues,new_critical_violations,INT,New Critical issues
Issues,new_major_violations,INT,New Major issues
Issues,new_minor_violations,INT,New Minor issues
Issues,new_info_violations,INT,New Info issues
Issues,false_positive_issues,INT,False positive issues
Issues,open_issues,INT,Open issues
Issues,reopened_issues,INT,Reopened issues
Issues,confirmed_issues,INT,Confirmed issues
Issues,wont_fix_issues,INT,Won't fix issues
Jdepend,afferent-couplings,INT,No Description
Jdepend,efferent-couplings,INT,No Description
Jdepend,number-of-classes-and-interfaces,INT,No Description
Jdepend,package-dependency-cycles,INT,No Description
Jdepend,missing_package_info,INT,No Description
Jdepend,package,INT,No Description
Jdepend,missing_package_info_count,INT,No Description
Jdepend,package_count,INT,No Description
Jdepend,package_info_count,INT,No Description
Jdepend,java_count,INT,No Description
Maintainability,sqale_index,WORK_DUR,Total effort (in days) to fix all the issues on the component and therefore to comply to all the requirements.
Maintainability,new_technical_debt,WORK_DUR,Added technical debt
Maintainability,sqale_rating,RATING,A-to-E rating based on the technical debt ratio
